area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c05a;c05b;c06a;c06b;c07;c08a;c09;c10;c11;c12;c13;c14;c15a;c16a;c17a;c18;c19;c20a;c21a;estrato;upm;id_vivienda;id_hogar;fexp;periodo
1;010150;005902;012;06;1;3;3;2;2;2;2;2;2;2;3;3;3;3;3;3;3;2;2;2;3;3;3;3;2713;010150005902;01015000590201206;010150005902012061;110,822703106613;201909
1;010150;005902;012;07;1;2;2;2;2;2;2;2;2;2;1;3;3;3;3;3;3;2;2;2;2;3;3;3;2713;010150005902;01015000590201207;010150005902012071;110,822703106613;201909
1;010150;005903;012;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;010150005903;01015000590301201;010150005903012011;226,186221714714;201909
1;010150;005903;012;02;1;2;2;2;2;2;2;2;2;2;2;3;2;3;2;3;3;2;2;2;2;2;2;2;2713;010150005903;01015000590301202;010150005903012021;226,186221714714;201909
1;010150;005903;012;03;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;010150005903;01015000590301203;010150005903012031;226,186221714714;201909
1;010150;005903;012;04;1;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;2;2;2;2;2;2;2;2713;010150005903;01015000590301204;010150005903012041;226,186221714714;201909
1;010150;005903;012;05;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2;2;2;2;2;2;2;2713;010150005903;01015000590301205;010150005903012051;226,186221714714;201909
1;010150;005903;012;06;1;2;2;2;2;2;2;2;2;2;1;3;3;3;3;3;3;2;2;2;3;3;3;3;2713;010150005903;01015000590301206;010150005903012061;226,186221714714;201909
1;010150;005903;012;07;1;2;2;2;2;2;2;2;2;2;2;2;1;3;3;2;3;2;2;2;2;2;2;2;2713;010150005903;01015000590301207;010150005903012071;226,186221714714;201909
1;010150;006201;009;01;1;3;3;1;1;3;2;3;2;2;2;3;3;3;3;3;3;2;2;2;3;3;3;3;2711;010150006201;01015000620100901;010150006201009011;155,544926976829;201909
1;010150;006201;009;02;1;3;3;1;1;3;2;3;2;2;2;3;3;3;3;3;3;2;2;2;3;3;3;3;2711;010150006201;01015000620100902;010150006201009021;155,544926976829;201909
1;010150;006201;009;03;1;2;2;2;2;2;2;2;2;2;2;3;3;2;2;3;3;2;2;2;3;3;3;3;2711;010150006201;01015000620100903;010150006201009031;155,544926976829;201909
1;010150;006201;009;04;1;2;2;2;2;2;2;2;2;2;2;3;3;2;2;3;3;2;2;2;3;3;3;3;2711;010150006201;01015000620100904;010150006201009041;155,544926976829;201909
1;010150;006201;009;05;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2;3;3;3;3;2711;010150006201;01015000620100905;010150006201009051;155,544926976829;201909
